时间,load,3-sigma (global),3-sigma (rolling 24h),Isolation Forest,IF异常分,报警数
2014-06-26 15:00:00,3.4898,False,True,False,0.1054,1
2014-06-19 09:00:00,7.6142,False,True,False,0.0161,1
2014-06-06 02:00:00,15.5457,False,False,True,-0.0068,1
2014-06-12 09:00:00,7.2970,False,True,False,0.0471,1
2014-06-16 09:00:00,5.3934,False,True,False,0.0503,1
2014-06-09 09:00:00,7.6142,False,True,False,0.0157,1
2014-06-06 03:00:00,16.1802,False,False,True,-0.0052,1
2014-07-11 02:00:00,15.8629,False,False,True,-0.0035,1
2014-07-11 01:00:00,15.5457,False,False,True,-0.0078,1
2014-07-11 00:00:00,15.8629,False,False,True,-0.0110,1
2014-07-10 23:00:00,15.8629,False,False,True,-0.0109,1
2014-07-10 22:00:00,15.8629,False,False,True,-0.0098,1
2014-07-10 21:00:00,15.2284,False,False,True,-0.0032,1
2014-07-10 20:00:00,14.5939,False,False,True,-0.0068,1
2014-07-24 09:00:00,7.2970,False,True,False,0.0094,1
2014-07-25 09:00:00,6.9797,False,True,False,0.0798,1
2014-07-28 08:00:00,3.1726,False,True,False,0.0580,1
2014-07-30 01:00:00,11.4213,False,False,True,-0.0155,1
2014-07-29 08:00:00,4.7589,False,True,False,0.0626,1
2014-07-30 02:00:00,15.8629,False,False,True,-0.0177,1
2014-07-31 09:00:00,9.8350,False,True,False,0.0207,1
2014-08-01 01:00:00,16.8147,False,False,True,-0.0315,1
2014-07-16 08:00:00,4.1244,False,True,False,0.1114,1
2014-08-01 02:00:00,16.8147,False,False,True,-0.0151,1
2014-08-01 03:00:00,17.1320,False,False,True,-0.0124,1
2014-08-01 07:00:00,16.4975,False,False,True,-0.0118,1
2014-08-01 04:00:00,16.8147,False,False,True,-0.0087,1
2014-08-01 09:00:00,20.9391,False,False,True,-0.0404,1
2014-08-01 10:00:00,22.2081,False,False,True,-0.0478,1
2014-08-01 11:00:00,16.1802,False,False,True,-0.0043,1
2014-07-10 18:00:00,14.9112,False,False,True,-0.0370,1
2014-07-10 19:00:00,15.2284,False,False,True,-0.0166,1
2014-06-20 09:00:00,7.6142,False,True,False,0.0150,1
2014-06-21 23:00:00,4.4416,False,True,False,0.0643,1
2014-06-23 10:00:00,8.5660,False,True,False,0.0288,1
2014-06-24 10:00:00,10.7868,False,True,False,0.0135,1
2014-06-25 09:00:00,3.4898,False,True,False,0.1528,1
2014-06-17 10:00:00,13.9594,False,False,True,-0.0092,1
2014-06-18 01:00:00,15.2284,False,False,True,-0.0011,1
2014-08-06 21:00:00,16.4975,False,False,True,-0.0093,1
2014-08-06 19:00:00,15.8629,False,False,True,-0.0026,1
2014-08-06 18:00:00,16.1802,False,False,True,-0.0044,1
2014-08-06 17:00:00,16.1802,False,False,True,-0.0120,1
2014-08-06 16:00:00,14.9112,False,False,True,-0.0049,1
2014-08-06 15:00:00,15.5457,False,False,True,-0.0309,1
2014-08-06 14:00:00,10.6282,False,False,True,-0.0010,1
2014-08-02 07:00:00,22.5254,False,True,False,0.0428,1
2014-08-01 08:00:00,17.1320,False,False,True,-0.0073,1
2014-08-17 18:00:00,21.8909,False,True,False,0.0314,1
2014-08-18 15:00:00,4.1244,False,True,False,0.0402,1
2014-08-14 07:00:00,23.1599,True,False,False,0.0308,1
2014-08-12 07:00:00,21.5736,False,True,False,0.0743,1
2014-08-13 07:00:00,21.5736,False,True,False,0.0439,1
2014-08-07 07:00:00,22.2081,False,True,False,0.0530,1
2014-08-06 22:00:00,16.4975,False,False,True,-0.0078,1
2014-08-27 07:00:00,22.8426,True,False,False,0.0432,1
2014-08-25 18:00:00,22.5254,False,True,False,0.0247,1
2014-08-23 12:00:00,22.8426,True,False,False,0.0205,1
2014-08-21 21:00:00,26.0152,True,False,False,0.0098,1
2014-08-18 07:00:00,22.8426,True,False,False,0.0298,1
2014-09-01 07:00:00,22.2081,False,True,False,0.0519,1
2014-08-29 18:00:00,22.8426,True,False,False,0.0335,1
2014-08-29 07:00:00,22.8426,True,False,False,0.0440,1
2014-09-03 23:00:00,5.0761,False,True,False,0.0263,1
2014-09-03 18:00:00,23.1599,True,False,False,0.0348,1
2014-09-04 18:00:00,23.4772,True,False,False,0.0294,1
2014-09-07 07:00:00,23.4772,True,False,False,0.0496,1
2014-09-07 20:00:00,3.1726,False,True,False,0.0120,1
2014-09-08 08:00:00,23.7944,True,False,False,0.0361,1
2014-09-08 11:00:00,3.4898,False,True,False,0.0453,1
2014-08-09 18:00:00,22.2081,False,True,False,0.0267,1
2014-09-09 00:00:00,3.8071,False,True,False,0.0673,1
2014-09-10 07:00:00,22.8426,True,False,False,0.0421,1
2014-09-11 17:00:00,25.0635,True,False,False,0.0092,1
2014-09-11 07:00:00,24.1117,True,False,False,0.0474,1
2014-09-13 05:00:00,5.3934,False,True,False,0.0185,1
2014-09-13 19:00:00,22.2081,False,True,False,0.0464,1
2014-09-14 21:00:00,24.4289,True,False,False,0.0251,1
2014-09-12 20:00:00,23.4772,True,False,False,0.0445,1
2014-09-16 08:00:00,10.1523,False,True,False,0.0421,1
2014-09-17 09:00:00,9.2005,False,True,False,0.0282,1
2014-10-08 09:00:00,7.2970,False,True,False,0.0547,1
2014-09-30 09:00:00,7.9315,False,True,False,0.0310,1
2014-10-14 08:00:00,8.8832,False,True,False,0.0147,1
2014-10-16 15:00:00,10.7868,False,True,False,0.0128,1
2014-10-17 09:00:00,4.4416,False,True,False,0.1194,1
2014-10-20 10:00:00,3.4898,False,True,False,0.1102,1
2014-10-21 09:00:00,6.0279,False,True,False,0.0522,1
2014-10-23 10:00:00,4.4416,False,True,False,0.1023,1
2014-10-30 09:00:00,4.1244,False,True,False,0.1059,1
2014-10-31 09:00:00,4.4416,False,True,False,0.0793,1
2014-11-04 08:00:00,4.4416,False,True,False,0.0849,1
2014-11-12 14:00:00,4.4416,False,True,False,0.1056,1
2014-11-18 14:00:00,4.7589,False,True,False,0.0939,1
2014-11-21 09:00:00,4.4416,False,True,False,0.0857,1
2014-12-01 11:00:00,6.9797,False,True,False,0.0390,1
2014-12-02 10:00:00,5.7107,False,True,False,0.1271,1
2014-12-09 09:00:00,5.0761,False,True,False,0.0927,1
2014-12-12 15:00:00,4.1244,False,True,False,0.1347,1
2014-12-17 08:00:00,6.3452,False,True,False,0.0672,1
2014-12-19 09:00:00,6.3452,False,True,False,0.0594,1
2014-12-22 10:00:00,7.2970,False,True,False,0.0316,1
2014-12-26 09:00:00,4.1244,False,True,False,0.0986,1
